Unicode Point  |  Glyph   |   Name
\u0028f5             ⣵          uni28F5
\u0028f6             ⣶          uni28F6
\u0028f7             ⣷          uni28F7
\u0028f8             ⣸          uni28F8
\u0028f9             ⣹          uni28F9
\u0028fa             ⣺          uni28FA
\u0028fb             ⣻          uni28FB
\u0028fc             ⣼          uni28FC
\u0028fd             ⣽          uni28FD
\u0028fe             ⣾          uni28FE
\u0028ff             ⣿          uni28FF
\u0029c9             ⧉          uni29C9
\u002b12             ⬒          uni2B12
\u002b13             ⬓          uni2B13
\u002b14             ⬔          uni2B14
\u002b15             ⬕          uni2B15
\u002b16             ⬖          uni2B16
\u002b17             ⬗          uni2B17
\u002b18             ⬘          uni2B18
\u002b19             ⬙          uni2B19
\u002b1d             ⬝          uni2B1D
\u002b24             ⬤          uni2B24
\u002b25             ⬥          uni2B25
\u002b26             ⬦          uni2B26
\u002b27             ⬧          uni2B27
\u002b28             ⬨          uni2B28
\u002b29             ⬩          uni2B29
\u002b2a             ⬪          uni2B2A
\u002b2b             ⬫          uni2B2B
\u002b2c             ⬬          uni2B2C
\u002b2d             ⬭          uni2B2D
\u002b2e             ⬮          uni2B2E
\u002b2f             ⬯          uni2B2F
\u002b55             ⭕          uni2B55
\u002b58             ⭘          uni2B58
\u002b73             ⭳          uni2B73
\u002b9c             ⮜          uni2B9C
\u002b9d             ⮝          uni2B9D
\u002b9e             ⮞          uni2B9E
\u002b9f             ⮟          uni2B9F
\u002bba             ⮺          uni2BBA
\u002bc0             ⯀          uni2BC0
\u002bc5             ⯅          uni2BC5
\u002bc6             ⯆          uni2BC6
\u002bc7             ⯇          uni2BC7
\u002bc8             ⯈          uni2BC8
\u002bca             ⯊          uni2BCA
\u002bcb             ⯋          uni2BCB
\u002e2e             ⸮          uni2E2E
\u004dc0             ䷀          uni4DC0
\u004dc1             ䷁          uni4DC1
\u004dc2             ䷂          uni4DC2
\u004dc3             ䷃          uni4DC3
\u004dc4             ䷄          uni4DC4
\u004dc5             ䷅          uni4DC5
\u004dc6             ䷆          uni4DC6
\u004dc7             ䷇          uni4DC7
\u004dc8             ䷈          uni4DC8
\u004dc9             ䷉          uni4DC9
\u004dca             ䷊          uni4DCA
\u004dcb             ䷋          uni4DCB
\u004dcc             ䷌          uni4DCC
\u004dcd             ䷍          uni4DCD
\u004dce             ䷎          uni4DCE
\u004dcf             ䷏          uni4DCF
\u004dd0             ䷐          uni4DD0
\u004dd1             ䷑          uni4DD1
\u004dd2             ䷒          uni4DD2
\u004dd3             ䷓          uni4DD3
\u004dd4             ䷔          uni4DD4
\u004dd5             ䷕          uni4DD5
\u004dd6             ䷖          uni4DD6
\u004dd7             ䷗          uni4DD7
\u004dd8             ䷘          uni4DD8
\u004dd9             ䷙          uni4DD9
\u004dda             ䷚          uni4DDA
\u004ddb             ䷛          uni4DDB
\u004ddc             ䷜          uni4DDC
\u004ddd             ䷝          uni4DDD
\u004dde             ䷞          uni4DDE
\u004ddf             ䷟          uni4DDF
\u004de0             ䷠          uni4DE0
\u004de1             ䷡          uni4DE1
\u004de2             ䷢          uni4DE2
\u004de3             ䷣          uni4DE3
\u004de4             ䷤          uni4DE4
\u004de5             ䷥          uni4DE5
\u004de6             ䷦          uni4DE6
\u004de7             ䷧          uni4DE7
\u004de8             ䷨          uni4DE8
\u004de9             ䷩          uni4DE9
\u004dea             ䷪          uni4DEA
\u004deb             ䷫          uni4DEB
\u004dec             ䷬          uni4DEC
\u004ded             ䷭          uni4DED
\u004dee             ䷮          uni4DEE
\u004def             ䷯          uni4DEF
\u004df0             ䷰          uni4DF0
\u004df1             ䷱          uni4DF1
\u004df2             ䷲          uni4DF2
\u004df3             ䷳          uni4DF3
\u004df4             ䷴          uni4DF4
\u004df5             ䷵          uni4DF5
\u004df6             ䷶          uni4DF6
\u004df7             ䷷          uni4DF7
\u004df8             ䷸          uni4DF8
\u004df9             ䷹          uni4DF9
\u004dfa             ䷺          uni4DFA
\u004dfb             ䷻          uni4DFB
\u004dfc             ䷼          uni4DFC
\u004dfd             ䷽          uni4DFD
\u004dfe             ䷾          uni4DFE
\u004dff             ䷿          uni4DFF
\u00e080                       uniE080
\u00e081                       uniE081
\u00e082                       uniE082
\u00e083                       uniE083
\u00e084                       uniE084
\u00e085                       uniE085
\u00e086                       uniE086
\u00e087                       uniE087
\u00e088                       uniE088
\u00e089                       uniE089
\u00e08a                       uniE08A
\u00e08b                       uniE08B
\u00e08c                       uniE08C
\u00e08d                       uniE08D
\u00e08e                       uniE08E
\u00e08f                       uniE08F
\u00e090                       uniE090
\u00e091                       uniE091
\u00e092                       uniE092
\u00e093                       uniE093
\u00e094                       uniE094
\u00e095                       uniE095
\u00e096                       uniE096
\u00e097                       uniE097
\u00e098                       uniE098
\u00e099                       uniE099
\u00e09a                       uniE09A
\u00e09b                       uniE09B
\u00e09c                       uniE09C
\u00e09d                       uniE09D
\u00e09e                       uniE09E
\u00e09f                       uniE09F
\u00e0a0                       uniE0A0
\u00e0a1                       uniE0A1
\u00e0a2                       uniE0A2
\u00e0a3                       uniE0A3
\u00e0a4                       uniE0A4
\u00e0a5                       uniE0A5
\u00e0a6                       uniE0A6
\u00e0a7                       uniE0A7
\u00e0a8                       uniE0A8
\u00e0a9                       uniE0A9
\u00e0aa                       uniE0AA
\u00e0ab                       uniE0AB
\u00e0ac                       uniE0AC
\u00e0ad                       uniE0AD
\u00e0ae                       uniE0AE
\u00e0af                       uniE0AF
\u00e0b0                       uniE0B0
\u00e0b1                       uniE0B1
\u00e0b2                       uniE0B2
\u00e0b3                       uniE0B3
\u00e0b4                       uniE0B4
\u00e0b5                       uniE0B5
\u00e0b6                       uniE0B6
\u00e0b7                       uniE0B7
\u00e0b8                       uniE0B8
\u00e0b9                       uniE0B9
\u00e0ba                       uniE0BA
\u00e0bb                       uniE0BB
\u00e0bc                       uniE0BC
\u00e0bd                       uniE0BD
\u00e0be                       uniE0BE
\u00e0bf                       uniE0BF
\u00e0c0                       uniE0C0
\u00e0c1                       uniE0C1
\u00e0c2                       uniE0C2
\u00e0c3                       uniE0C3
\u00e0c4                       uniE0C4
\u00e0c5                       uniE0C5
\u00e0c6                       uniE0C6
\u00e0c7                       uniE0C7
\u00e0c8                       uniE0C8
\u00e0c9                       uniE0C9
\u00e0ca                       uniE0CA
\u00e0cb                       uniE0CB
\u00e0cc                       uniE0CC
\u00e0cd                       uniE0CD
\u00e0ce                       uniE0CE
\u00e0cf                       uniE0CF
\u00e0d0                       uniE0D0
\u00e0d1                       uniE0D1
\u00e0d2                       uniE0D2
\u00e0d3                       uniE0D3
\u00e0d4                       uniE0D4
\u00e0d5                       uniE0D5
\u00e0d6                       uniE0D6
\u00e0d7                       uniE0D7
\u00e0d8                       uniE0D8
\u00e0d9                       uniE0D9
\u00e0da                       uniE0DA
\u00e0db                       uniE0DB
\u00e0dc                       uniE0DC
\u00e0dd                       uniE0DD
\u00e0de                       uniE0DE
\u00e0df                       uniE0DF
\u00e0e0                       uniE0E0
\u00e0e1                       uniE0E1
\u00e0e2                       uniE0E2
\u00e0e3                       uniE0E3
\u00e0e4                       uniE0E4
\u00e0e5                       uniE0E5
\u00e0e6                       uniE0E6
\u00e0e7                       uniE0E7
\u00e0e8                       uniE0E8
\u00e0e9                       uniE0E9
\u00e0ea                       uniE0EA
\u00e0eb                       uniE0EB
\u00e0ec                       uniE0EC
\u00e0ed                       uniE0ED
\u00e0ee                       uniE0EE
\u00e0ef                       uniE0EF
\u00e0f0                       uniE0F0
\u00e0f1                       uniE0F1
\u00e0f2                       uniE0F2
\u00e0f3                       uniE0F3
\u00e0f4                       uniE0F4
\u00e0f5                       uniE0F5
\u00e0f6                       uniE0F6
\u00e0f7                       uniE0F7
\u00e0f8                       uniE0F8
\u00e0f9                       uniE0F9
\u00e0fa                       uniE0FA
\u00e0fb                       uniE0FB
\u00e0fc                       uniE0FC
\u00e0fd                       uniE0FD
\u00e0fe                       uniE0FE
\u00e0ff                       uniE0FF
\u00e100                       uniE100
\u00e101                       uniE101
\u00e102                       uniE102
\u00e103                       uniE103
\u00e104                       uniE104
\u00e105                       uniE105
\u00e106                       uniE106
\u00e107                       uniE107
\u00e108                       uniE108
\u00e109                       uniE109
\u00e10a                       uniE10A
\u00e10b                       uniE10B
\u00e10c                       uniE10C
\u00e10d                       uniE10D
\u00e10e                       uniE10E
\u00e10f                       uniE10F
\u00e110                       uniE110
\u00e111                       uniE111
\u00e112                       uniE112
\u00e113                       uniE113
\u00e114                       uniE114
\u00e115                       uniE115
\u00e116                       uniE116
\u00e117                       uniE117
\u00e118                       uniE118
\u00e119                       uniE119
\u00e11a                       uniE11A
\u00e11b                       uniE11B
\u00e11c                       uniE11C
\u00e11d                       uniE11D
\u00e11e                       uniE11E
\u00e11f                       uniE11F
\u00e120                       uniE120
\u00e121                       uniE121
\u00e122                       uniE122
\u00e123                       uniE123
\u00e124                       uniE124
\u00e125                       uniE125
\u00e126                       uniE126
\u00e127                       uniE127
\u00e128                       uniE128
\u00e129                       uniE129
\u00e12a                       uniE12A
\u00e12b                       uniE12B
\u00e12c                       uniE12C
\u00e12d                       uniE12D
\u00e12e                       uniE12E
\u00e12f                       uniE12F
\u00e130                       uniE130
\u00e131                       uniE131
\u00e132                       uniE132
\u00e133                       uniE133
\u00e134                       uniE134
\u00e135                       uniE135
\u00e136                       uniE136
\u00e137                       uniE137
\u00e138                       uniE138
\u00e139                       uniE139
\u00e13a                       uniE13A
\u00e13b                       uniE13B
\u00e13c                       uniE13C
\u00e13d                       uniE13D
\u00e13e                       uniE13E
\u00e13f                       uniE13F
\u00e140                       uniE140
\u00e141                       uniE141
\u00e142                       uniE142
\u00e143                       uniE143
\u00e144                       uniE144
\u00e145                       uniE145
\u00e146                       uniE146
\u00e147                       uniE147
\u00e148                       uniE148
\u00e149                       uniE149
\u00e14a                       uniE14A
\u00e14b                       uniE14B
\u00e14c                       uniE14C
\u00e14d                       uniE14D
\u00e14e                       uniE14E
\u00e14f                       uniE14F
\u00e150                       uniE150
\u00e151                       uniE151
\u00e152                       uniE152
\u00e153                       uniE153
\u00e154                       uniE154
\u00e155                       uniE155
\u00e156                       uniE156
\u00e157                       uniE157
\u00e158                       uniE158
\u00e159                       uniE159
\u00e15a                       uniE15A
\u00e15b                       uniE15B
\u00e15c                       uniE15C
\u00e15d                       uniE15D
\u00e15e                       uniE15E
\u00e15f                       uniE15F
\u00e160                       uniE160
\u00e161                       uniE161
\u00e162                       uniE162
\u00e163                       uniE163
\u00e164                       uniE164
\u00e165                       uniE165
\u00e166                       uniE166
\u00e167                       uniE167
\u00e168                       uniE168
\u00e169                       uniE169
\u00e16a                       uniE16A
\u00e16b                       uniE16B
\u00e16c                       uniE16C
\u00e16d                       uniE16D
\u00e16e                       uniE16E
\u00e16f                       uniE16F
\u00e170                       uniE170
\u00e171                       uniE171
\u00e172                       uniE172
\u00e173                       uniE173
\u00e174                       uniE174
\u00e175                       uniE175
\u00e176                       uniE176
\u00e177                       uniE177
\u00e178                       uniE178
\u00e179                       uniE179
\u00e17a                       uniE17A
\u00e17b                       uniE17B
\u00e17c                       uniE17C
\u00e17d                       uniE17D
\u00e17e                       uniE17E
\u00e17f                       uniE17F
\u00e180                       uniE180
\u00e181                       uniE181
\u00e182                       uniE182
\u00e183                       uniE183
\u00e184                       uniE184
\u00e185                       uniE185
\u00e186                       uniE186
\u00e187                       uniE187
\u00e188                       uniE188
\u00e189                       uniE189
\u00e18a                       uniE18A
\u00e18b                       uniE18B
\u00e18c                       uniE18C
\u00e18d                       uniE18D
\u00e18e                       uniE18E
\u00e18f                       uniE18F
\u00e190                       uniE190
\u00e191                       uniE191
\u00e192                       uniE192
\u00e193                       uniE193
\u00e194                       uniE194
\u00e195                       uniE195
\u00e196                       uniE196
\u00e197                       uniE197
\u00e198                       uniE198
\u00e199                       uniE199
\u00e19a                       uniE19A
\u00e19b                       uniE19B
\u00e19c                       uniE19C
\u00e19d                       uniE19D
\u00e19e                       uniE19E
\u00e19f                       uniE19F
\u00e1a0                       uniE1A0
\u00e1a1                       uniE1A1
\u00e1a2                       uniE1A2
\u00e1a3                       uniE1A3
\u00e1a4                       uniE1A4
\u00e1a5                       uniE1A5
\u00e1a6                       uniE1A6
\u00e1a7                       uniE1A7
\u00e1a8                       uniE1A8
\u00e1a9                       uniE1A9
\u00e1aa                       uniE1AA
\u00e800                       uniE800
\u00e801                       uniE801
\u00e802                       uniE802
\u00e803                       uniE803
\u00e804                       uniE804
\u00e805                       uniE805
\u00e806                       uniE806
\u00e807                       uniE807
\u00e808                       uniE808
\u00e809                       uniE809
\u00e80a                       uniE80A
\u00e80b                       uniE80B
\u00e80c                       uniE80C
\u00e80d                       uniE80D
\u00e80e                       uniE80E
\u00e80f                       uniE80F
\u00e810                       uniE810
\u00e811                       uniE811
\u00e812                       uniE812
\u00e813                       uniE813
\u00e814                       uniE814
\u00e815                       uniE815
\u00e816                       uniE816
\u00e817                       uniE817
\u00e818                       uniE818
\u00e819                       uniE819
\u00e81a                       uniE81A
\u00e81b                       uniE81B
\u00e81c                       uniE81C
\u00e81d                       uniE81D
\u00e81e                       uniE81E
\u00e81f                       uniE81F
\u00e820                       uniE820
\u00e821                       uniE821
\u00e822                       uniE822
\u00e823                       uniE823
\u00e824                       uniE824
\u00e825                       uniE825
\u00e826                       uniE826
\u00e827                       uniE827
\u00e828                       uniE828
\u00e829                       uniE829
\u00e82a                       uniE82A
\u00e82b                       uniE82B
\u00e82c                       uniE82C
\u00e82d                       uniE82D
\u00e82e                       uniE82E
\u00e82f                       uniE82F
\u00e830                       uniE830
\u00e831                       uniE831
\u00e832                       uniE832
\u00e833                       uniE833
\u00e834                       uniE834
\u00e835                       uniE835
\u00e836                       uniE836
\u00e837                       uniE837
\u00e838                       uniE838
\u00e839                       uniE839
\u00e83a                       uniE83A
\u00e83b                       uniE83B
\u00e83c                       uniE83C
\u00e83d                       uniE83D
\u00e83e                       uniE83E
\u00e83f                       uniE83F
\u00e840                       uniE840
\u00e841                       uniE841
\u00e842                       uniE842
\u00e843                       uniE843
\u00e844                       uniE844
\u00e845                       uniE845
\u00e846                       uniE846
\u00e847                       uniE847
\u00e848                       uniE848
\u00e849                       uniE849
\u00e84a                       uniE84A
\u00e84b                       uniE84B
\u00e84c                       uniE84C
\u00e84d                       uniE84D
\u00e84e                       uniE84E
\u00e84f                       uniE84F
\u00e850                       uniE850
\u00e851                       uniE851
\u00e852                       uniE852
\u00e853                       uniE853
\u00e854                       uniE854
\u00e855                       uniE855
\u00e856                       uniE856
\u00e857                       uniE857
\u00e858                       uniE858
\u00e859                       uniE859
\u00e85a                       uniE85A
\u00e85b                       uniE85B
\u00e85c                       uniE85C
\u00e85d                       uniE85D
\u00e85e                       uniE85E
\u00e85f                       uniE85F
\u00e860                       uniE860
\u00e861                       uniE861
\u00e862                       uniE862
\u00e863                       uniE863
\u00e864                       uniE864
\u00e865                       uniE865
\u00e866                       uniE866
\u00e867                       uniE867
\u00e868                       uniE868
\u00e869                       uniE869
\u00e86a                       uniE86A
\u00e86b                       uniE86B
\u00e86c                       uniE86C
\u00e86d                       uniE86D
\u00e86e                       uniE86E
\u00e86f                       uniE86F
\u00e870                       uniE870
\u00e871                       uniE871
\u00e872                       uniE872
\u00e873                       uniE873
\u00e874                       uniE874
\u00e875                       uniE875
\u00e876                       uniE876
\u00e877                       uniE877
\u00e878                       uniE878
\u00e879                       uniE879
\u00e87a                       uniE87A
\u00e87b                       uniE87B
\u00e87c                       uniE87C
\u00e87d                       uniE87D
\u00ec00                       uniEC00
\u00ec01                       uniEC01
\u00ec02                       uniEC02
\u00ec03                       uniEC03
\u00ec04                       uniEC04
\u00ec05                       uniEC05
\u00ec06                       uniEC06
\u00ec07                       uniEC07
\u00ec0a                       uniEC0A
\u00ec0b                       uniEC0B
\u00ec0c                       uniEC0C
\u00ec0d                       uniEC0D
\u00ec0e                       uniEC0E
\u00ec0f                       uniEC0F
\u00ec10                       uniEC10
\u00ec11                       uniEC11
\u00ec12                       uniEC12
\u00ec13                       uniEC13
\u00ec14                       uniEC14
\u00ec15                       uniEC15
\u00ec16                       uniEC16
\u00ec17                       uniEC17
\u00ec18                       uniEC18
\u00ec19                       uniEC19
\u00ec1a                       uniEC1A
\u00ec1b                       uniEC1B
\u00ec1c                       uniEC1C
\u00ec1d                       uniEC1D
\u00ec1e                       uniEC1E
\u00ec1f                       uniEC1F
\u00ec20                       uniEC20
\u00ec21                       uniEC21
\u00ec22                       uniEC22
\u00ec23                       uniEC23
\u00ec24                       uniEC24
\u00ec25                       uniEC25
\u00ec26                       uniEC26
\u00ec27                       uniEC27
\u00ec28                       uniEC28
\u00ec29                       uniEC29
\u00ec2a                       uniEC2A
\u00ec2b                       uniEC2B
\u00ec2c                       uniEC2C
\u00ec2d                       uniEC2D
\u00ec2e                       uniEC2E
\u00ec2f                       uniEC2F
\u00ec30                       uniEC30
\u00ec31                       uniEC31
\u00ec32                       uniEC32
\u00ec33                       uniEC33
\u00ec34                       uniEC34
\u00ec35                       uniEC35
\u00ec36                       uniEC36
\u00ec37                       uniEC37
\u00ec38                       uniEC38
\u00ec39                       uniEC39
\u00ec3a                       uniEC3A
\u00ec3b                       uniEC3B
\u00ec3c                       uniEC3C
\u00ec3d                       uniEC3D
\u00ec3e                       uniEC3E
\u00ec3f                       uniEC3F
\u00ec40                       uniEC40
\u00ec41                       uniEC41
\u00ec42                       uniEC42
\u00ec43                       uniEC43
\u00ec44                       uniEC44
\u00ec45                       uniEC45
\u00ec46                       uniEC46
\u00ec47                       uniEC47
\u00ec48                       uniEC48
\u00ec49                       uniEC49
\u00ec4a                       uniEC4A
\u00ec4b                       uniEC4B
\u00ec4c                       uniEC4C
\u00ec4d                       uniEC4D
\u00ec4e                       uniEC4E
\u00ec4f                       uniEC4F
\u00ec50                       uniEC50
\u00ec51                       uniEC51
\u00ec52                       uniEC52
\u00ec53                       uniEC53
\u00ec54                       uniEC54
\u00ec55                       uniEC55
\u00ec56                       uniEC56
\u00ec57                       uniEC57
\u00ec58                       uniEC58
\u00ec59                       uniEC59
\u00ec5a                       uniEC5A
\u00ec5b                       uniEC5B
\u00ec5c                       uniEC5C
\u00ec5d                       uniEC5D
\u00ec5e                       uniEC5E
\u00ec5f                       uniEC5F
\u00ec60                       uniEC60
\u00ec61                       uniEC61
\u00ec62                       uniEC62
\u00ec63                       uniEC63
\u00ec64                       uniEC64
\u00ec65                       uniEC65
\u00ec66                       uniEC66
\u00ec67                       uniEC67
\u00ec68                       uniEC68
\u00ec69                       uniEC69
\u00ec6a                       uniEC6A
\u00ec6b                       uniEC6B
\u00ec6c                       uniEC6C
\u00ec6d                       uniEC6D
\u00ec6e                       uniEC6E
\u00ec6f                       uniEC6F
\u00ec70                       uniEC70
\u00ec71                       uniEC71
\u00ec72                       uniEC72
\u00ec73                       uniEC73
\u00ec74                       uniEC74
\u00ec75                       uniEC75
\u00ec76                       uniEC76
\u00ec77                       uniEC77
\u00ec78                       uniEC78
\u00ec79                       uniEC79
\u00ec7a                       uniEC7A
\u00ec7b                       uniEC7B
\u00ec7c                       uniEC7C
\u00ec7d                       uniEC7D
\u00ec7f                       uniEC7F
\u00ec80                       uniEC80
\u00ec81                       uniEC81
\u00ec82                       uniEC82
\u00ec83                       uniEC83
\u00ec84                       uniEC84
\u00ec85                       uniEC85
\u00ec86                       uniEC86
\u00ec87                       uniEC87
\u00ec88                       uniEC88
\u00ec89                       uniEC89
\u00ec8a                       uniEC8A
\u00ec8b                       uniEC8B
\u00ec8c                       uniEC8C
\u00ec8d                       uniEC8D
\u00ec8e                       uniEC8E
\u00ec8f                       uniEC8F
\u00ec90                       uniEC90
\u00ec91                       uniEC91
\u00ec92                       uniEC92
\u00ec93                       uniEC93
\u00ec94                       uniEC94
\u00ec95                       uniEC95
\u00ec96                       uniEC96
\u00ec97                       uniEC97
\u00ec98                       uniEC98
\u00ec99                       uniEC99
\u00ec9a                       uniEC9A
\u00ec9b                       uniEC9B
\u00ec9c                       uniEC9C
\u00ec9d                       uniEC9D
\u00ec9e                       uniEC9E
\u00ec9f                       uniEC9F
\u00eca0                       uniECA0
\u00eca1                       uniECA1
\u00eca2                       uniECA2
\u00eca3                       uniECA3
\u00eca4                       uniECA4
\u00eca5                       uniECA5
\u00eca6                       uniECA6
\u00eca7                       uniECA7
\u00eca8                       uniECA8
\u00eca9                       uniECA9
\u00ecaa                       uniECAA
\u00ecab                       uniECAB
\u00ecac                       uniECAC
\u00ecad                       uniECAD
\u00ecae                       uniECAE
\u00ecaf                       uniECAF
\u00ecb0                       uniECB0
\u00ecb1                       uniECB1
\u00ecb2                       uniECB2
\u00ecb3                       uniECB3
\u00ecb4                       uniECB4
\u00ecb5                       uniECB5
\u00ecb6                       uniECB6
\u00ecb7                       uniECB7
\u00ecb8                       uniECB8
\u00ecb9                       uniECB9
\u00ecba                       uniECBA
\u00ecbb                       uniECBB
\u00ecbc                       uniECBC
\u00ecbd                       uniECBD
\u00ecbe                       uniECBE
\u00ecbf                       uniECBF
\u00ecc0                       uniECC0
\u00ecc1                       uniECC1
\u00ecc2                       uniECC2
\u00ecc3                       uniECC3
\u00ecc4                       uniECC4
\u00ecc5                       uniECC5
\u00ecc6                       uniECC6
\u00ecc7                       uniECC7
\u00ecc8                       uniECC8
\u00ecc9                       uniECC9
\u00ecca                       uniECCA
\u00eccb                       uniECCB
\u00eccc                       uniECCC
\u00eccd                       uniECCD
\u00ecce                       uniECCE
\u00eccf                       uniECCF
\u00ecd0                       uniECD0
\u00ecd1                       uniECD1
\u00ecd2                       uniECD2
\u00ecd3                       uniECD3
\u00ecd4                       uniECD4
\u00ecd5                       uniECD5
\u00ecd6                       uniECD6
\u00ecd7                       uniECD7
\u00ecd8                       uniECD8
\u00ecd9                       uniECD9
\u00ecda                       uniECDA
\u00ecdb                       uniECDB
\u00ecdc                       uniECDC
\u00ecdd                       uniECDD
\u00ecde                       uniECDE
\u00fe81             ﺁ          uniFE81
\u00fe82             ﺂ          uniFE82
\u00fe84             ﺄ          uniFE84
\u00fe87             ﺇ          uniFE87
\u00fe8f             ﺏ          uniFE8F
\u00fe90             ﺐ          uniFE90
\u00fe91             ﺑ          uniFE91
\u00fe92             ﺒ          uniFE92
\u00fe93             ﺓ          uniFE93
\u00fe94             ﺔ          uniFE94
\u00fe95             ﺕ          uniFE95
\u00fe96             ﺖ          uniFE96
\u00fe97             ﺗ          uniFE97
\u00fe98             ﺘ          uniFE98
\u00fe99             ﺙ          uniFE99
\u00fe9a             ﺚ          uniFE9A
\u00fe9b             ﺛ          uniFE9B
\u00fe9c             ﺜ          uniFE9C
\u00fe9e             ﺞ          uniFE9E
\u00fe9f             ﺟ          uniFE9F
\u00fea0             ﺠ          uniFEA0
\u00fea1             ﺡ          uniFEA1
\u00fea2             ﺢ          uniFEA2
\u00fea3             ﺣ          uniFEA3
\u00fea4             ﺤ          uniFEA4
\u00fea9             ﺩ          uniFEA9
\u00feaa             ﺪ          uniFEAA
\u00feab             ﺫ          uniFEAB
\u00feac             ﺬ          uniFEAC
\u00fead             ﺭ          uniFEAD
\u00feaf             ﺯ          uniFEAF
\u00feb1             ﺱ          uniFEB1
\u00feb2             ﺲ          uniFEB2
\u00feb3             ﺳ          uniFEB3
\u00feb4             ﺴ          uniFEB4
\u00feb5             ﺵ          uniFEB5
\u00feb6             ﺶ          uniFEB6
\u00feb7             ﺷ          uniFEB7
\u00feb9             ﺹ          uniFEB9
\u00feba             ﺺ          uniFEBA
\u00febb             ﺻ          uniFEBB
\u00febc             ﺼ          uniFEBC
\u00fec1             ﻁ          uniFEC1
\u00fec2             ﻂ          uniFEC2
\u00fec3             ﻃ          uniFEC3
\u00fec4             ﻄ          uniFEC4
\u00fec5             ﻅ          uniFEC5
\u00fec6             ﻆ          uniFEC6
\u00fec9             ﻉ          uniFEC9
\u00feca             ﻊ          uniFECA
\u00fecb             ﻋ          uniFECB
\u00fecc             ﻌ          uniFECC
\u00fecd             ﻍ          uniFECD
\u00fece             ﻎ          uniFECE
\u00fecf             ﻏ          uniFECF
\u00fed0             ﻐ          uniFED0
\u00fed1             ﻑ          uniFED1
\u00fed2             ﻒ          uniFED2
\u00fed3             ﻓ          uniFED3
\u00fed4             ﻔ          uniFED4
\u00fed5             ﻕ          uniFED5
\u00fed6             ﻖ          uniFED6
\u00fed7             ﻗ          uniFED7
\u00fed8             ﻘ          uniFED8
\u00fed9             ﻙ          uniFED9
\u00feda             ﻚ          uniFEDA
\u00fedb             ﻛ          uniFEDB
\u00fedc             ﻜ          uniFEDC
\u00fedd             ﻝ          uniFEDD
\u00fedf             ﻟ          uniFEDF
\u00fee0             ﻠ          uniFEE0
\u00fee1             ﻡ          uniFEE1
\u00fee2             ﻢ          uniFEE2
\u00fee3             ﻣ          uniFEE3
\u00fee5             ﻥ          uniFEE5
\u00fee6             ﻦ          uniFEE6
\u00fee7             ﻧ          uniFEE7
\u00fee8             ﻨ          uniFEE8
\u00fee9             ﻩ          uniFEE9
\u00feeb             ﻫ          uniFEEB
\u00feec             ﻬ          uniFEEC
\u00feed             ﻭ          uniFEED
\u00feee             ﻮ          uniFEEE
\u00feef             ﻯ          uniFEEF
\u00fef0             ﻰ          uniFEF0
\u00fef1             ﻱ          uniFEF1
\u00fef2             ﻲ          uniFEF2
\u00fef3             ﻳ          uniFEF3
\u00fef4             ﻴ          uniFEF4
\u00ff01             ！          uniFF01
\u00ff02             ＂          uniFF02
\u00ff03             ＃          uniFF03
\u00ff04             ＄          uniFF04
\u00ff05             ％          uniFF05
\u00ff06             ＆          uniFF06
\u00ff07             ＇          uniFF07
\u00ff08             （          uniFF08
\u00ff09             ）          uniFF09
\u00ff0a             ＊          uniFF0A
\u00ff0b             ＋          uniFF0B
\u00ff0c             ，          uniFF0C
\u00ff0d             －          uniFF0D
\u00ff0e             ．          uniFF0E
\u00ff0f             ／          uniFF0F
\u00ff10             ０          uniFF10
\u00ff11             １          uniFF11
\u00ff12             ２          uniFF12
\u00ff13             ３          uniFF13
\u00ff14             ４          uniFF14
\u00ff15             ５          uniFF15
\u00ff16             ６          uniFF16
\u00ff17             ７          uniFF17
\u00ff18             ８          uniFF18
\u00ff19             ９          uniFF19
\u00ff1a             ：          uniFF1A
\u00ff1b             ；          uniFF1B
\u00ff1c             ＜          uniFF1C
\u00ff1d             ＝          uniFF1D
\u00ff1e             ＞          uniFF1E
\u00ff1f             ？          uniFF1F
\u00ff20             ＠          uniFF20
\u00ff21             Ａ          uniFF21
\u00ff22             Ｂ          uniFF22
\u00ff23             Ｃ          uniFF23
\u00ff24             Ｄ          uniFF24
\u00ff25             Ｅ          uniFF25
\u00ff26             Ｆ          uniFF26
\u00ff27             Ｇ          uniFF27
\u00ff28             Ｈ          uniFF28
\u00ff29             Ｉ          uniFF29
\u00ff2a             Ｊ          uniFF2A
\u00ff2b             Ｋ          uniFF2B
\u00ff2c             Ｌ          uniFF2C
\u00ff2d             Ｍ          uniFF2D
\u00ff2e             Ｎ          uniFF2E
\u00ff2f             Ｏ          uniFF2F
\u00ff30             Ｐ          uniFF30
\u00ff31             Ｑ          uniFF31
\u00ff32             Ｒ          uniFF32
\u00ff33             Ｓ          uniFF33
\u00ff34             Ｔ          uniFF34
\u00ff35             Ｕ          uniFF35
\u00ff36             Ｖ          uniFF36
\u00ff38             Ｘ          uniFF38
\u00ff39             Ｙ          uniFF39
\u00ff3a             Ｚ          uniFF3A
\u00ff3b             ［          uniFF3B
\u00ff3c             ＼          uniFF3C
\u00ff3d             ］          uniFF3D
\u00ff3e             ＾          uniFF3E
\u00ff3f             ＿          uniFF3F
\u00ff40             ｀          uniFF40
\u00ff41             ａ          uniFF41
\u00ff42             ｂ          uniFF42
