Unicode Point  |  Glyph   |   Name
\u0017b             Ż          Zdotaccent
\u0017c             ż          zdotaccent
\u0017d             Ž          Zcaron
\u0017e             ž          zcaron
\u0017f             ſ          longs
\u00180             ƀ          uni0180
\u00181             Ɓ          uni0181
\u00182             Ƃ          uni0182
\u00183             ƃ          uni0183
\u00184             Ƅ          uni0184
\u00185             ƅ          uni0185
\u00186             Ɔ          uni0186
\u00187             Ƈ          uni0187
\u00188             ƈ          uni0188
\u00189             Ɖ          uni0189
\u0018a             Ɗ          uni018A
\u0018b             Ƌ          uni018B
\u0018c             ƌ          uni018C
\u0018d             ƍ          uni018D
\u0018e             Ǝ          uni018E
\u0018f             Ə          uni018F
\u00190             Ɛ          uni0190
\u00191             Ƒ          uni0191
\u00192             ƒ          florin
\u00193             Ɠ          uni0193
\u00194             Ɣ          uni0194
\u00195             ƕ          uni0195
\u00197             Ɨ          uni0197
\u00198             Ƙ          uni0198
\u00199             ƙ          uni0199
\u0019a             ƚ          uni019A
\u0019b             ƛ          uni019B
\u0019c             Ɯ          uni019C
\u0019d             Ɲ          uni019D
\u0019e             ƞ          uni019E
\u0019f             Ɵ          uni019F
\u001b7             Ʒ          uni01B7
\u001cd             Ǎ          uni01CD
\u001ce             ǎ          uni01CE
\u001cf             Ǐ          uni01CF
\u001d0             ǐ          uni01D0
\u001d1             Ǒ          uni01D1
\u001d2             ǒ          uni01D2
\u001d3             Ǔ          uni01D3
\u001d4             ǔ          uni01D4
\u001d5             Ǖ          uni01D5
\u001d6             ǖ          uni01D6
\u001d7             Ǘ          uni01D7
\u001d8             ǘ          uni01D8
\u001d9             Ǚ          uni01D9
\u001da             ǚ          uni01DA
\u001db             Ǜ          uni01DB
\u001dc             ǜ          uni01DC
\u001dd             ǝ          uni01DD
\u001de             Ǟ          uni01DE
\u001df             ǟ          uni01DF
\u001e0             Ǡ          uni01E0
\u001e1             ǡ          uni01E1
\u001e2             Ǣ          uni01E2
\u001e3             ǣ          uni01E3
\u001e6             Ǧ          Gcaron
\u001e7             ǧ          gcaron
\u001e8             Ǩ          uni01E8
\u001e9             ǩ          uni01E9
\u001ee             Ǯ          uni01EE
\u001ef             ǯ          uni01EF
\u001f0             ǰ          uni01F0
\u001f4             Ǵ          uni01F4
\u001f5             ǵ          uni01F5
\u001f8             Ǹ          uni01F8
\u001f9             ǹ          uni01F9
\u001fa             Ǻ          Aringacute
\u001fb             ǻ          aringacute
\u001fc             Ǽ          AEacute
\u001fd             ǽ          aeacute
\u001fe             Ǿ          Oslashacute
\u001ff             ǿ          oslashacute
\u00200             Ȁ          uni0200
\u00201             ȁ          uni0201
\u00202             Ȃ          uni0202
\u00203             ȃ          uni0203
\u00204             Ȅ          uni0204
\u00205             ȅ          uni0205
\u00206             Ȇ          uni0206
\u00207             ȇ          uni0207
\u00208             Ȉ          uni0208
\u00209             ȉ          uni0209
\u0020a             Ȋ          uni020A
\u0020b             ȋ          uni020B
\u0020c             Ȍ          uni020C
\u0020d             ȍ          uni020D
\u0020e             Ȏ          uni020E
\u0020f             ȏ          uni020F
\u00210             Ȑ          uni0210
\u00211             ȑ          uni0211
\u00212             Ȓ          uni0212
\u00213             ȓ          uni0213
\u00214             Ȕ          uni0214
\u00215             ȕ          uni0215
\u00216             Ȗ          uni0216
\u00217             ȗ          uni0217
\u00218             Ș          uni0218
\u00219             ș          uni0219
\u0021a             Ț          uni021A
\u0021b             ț          uni021B
\u00226             Ȧ          uni0226
\u00227             ȧ          uni0227
\u0022a             Ȫ          uni022A
\u0022b             ȫ          uni022B
\u0022c             Ȭ          uni022C
\u0022d             ȭ          uni022D
\u0022e             Ȯ          uni022E
\u0022f             ȯ          uni022F
\u00230             Ȱ          uni0230
\u00231             ȱ          uni0231
\u00232             Ȳ          uni0232
\u00233             ȳ          uni0233
\u00258             ɘ          uni0258
\u00259             ə          uni0259
\u00263             ɣ          uni0263
\u00292             ʒ          uni0292
\u00294             ʔ          uni0294
\u002c6             ˆ          circumflex
\u002c9             ˉ          uni02C9
\u002cd             ˍ          uni02CD
\u002dc             ˜          tilde
\u00300             ̀          gravecomb
\u00301             ́          acutecomb
\u00302             ̂          uni0302
\u00303             ̃          tildecomb
\u00304             ̄          uni0304
\u00305             ̅          uni0305
\u00306             ̆          uni0306
\u00307             ̇          uni0307
\u00308             ̈          uni0308
\u00309             ̉          hookabovecomb
\u0030a             ̊          uni030A
\u0030b             ̋          uni030B
\u0030c             ̌          uni030C
\u0030d             ̍          uni030D
\u0030f             ̏          uni030F
\u00310             ̐          uni0310
\u00311             ̑          uni0311
\u00313             ̓          uni0313
\u00314             ̔          uni0314
\u00315             ̕          uni0315
\u00316             ̖          uni0316
\u00317             ̗          uni0317
\u00318             ̘          uni0318
\u0031b             ̛          uni031B
\u0031c             ̜          uni031C
\u0031f             ̟          uni031F
\u00320             ̠          uni0320
\u00321             ̡          uni0321
\u00322             ̢          uni0322
\u00323             ̣          dotbelowcomb
\u00324             ̤          uni0324
\u00325             ̥          uni0325
\u00326             ̦          uni0326
\u00327             ̧          uni0327
\u00328             ̨          uni0328
\u00329             ̩          uni0329
\u0032b             ̫          uni032B
\u0032c             ̬          uni032C
\u0032e             ̮          uni032E
\u00330             ̰          uni0330
\u00332             ̲          uni0332
\u00333             ̳          uni0333
\u00335             ̵          uni0335
\u00336             ̶          uni0336
\u00337             ̷          uni0337
\u00338             ̸          uni0338
\u00339             ̹          uni0339
\u0033a             ̺          uni033A
\u0033b             ̻          uni033B
\u0033c             ̼          uni033C
\u0033d             ̽          uni033D
\u0033e             ̾          uni033E
\u00340             ̀          uni0340
\u00341             ́          uni0341
\u00342             ͂          uni0342
\u00343             ̓          uni0343
\u00344             ̈́          uni0344
\u0034f             ͏          uni034F
\u00362             ͢          uni0362
\u00386             Ά          Alphatonos
\u00388             Έ          Epsilontonos
\u00389             Ή          Etatonos
\u0038a             Ί          Iotatonos
\u0038c             Ό          Omicrontonos
\u0038e             Ύ          Upsilontonos
\u0038f             Ώ          Omegatonos
\u00391             Α          Alpha
\u00392             Β          Beta
\u00393             Γ          Gamma
\u00394             Δ          uni0394
\u00395             Ε          Epsilon
\u00396             Ζ          Zeta
\u00397             Η          Eta
\u00398             Θ          Theta
\u00399             Ι          Iota
\u0039a             Κ          Kappa
\u0039b             Λ          Lambda
\u0039c             Μ          Mu
\u0039d             Ν          Nu
\u0039e             Ξ          Xi
\u0039f             Ο          Omicron
\u003a0             Π          Pi
\u003a1             Ρ          Rho
\u003a3             Σ          Sigma
\u003a4             Τ          Tau
\u003a5             Υ          Upsilon
\u003a6             Φ          Phi
\u003a7             Χ          Chi
\u003a8             Ψ          Psi
\u003a9             Ω          uni03A9
\u003aa             Ϊ          Iotadieresis
\u003ab             Ϋ          Upsilondieresis
\u003ac             ά          alphatonos
\u003ad             έ          epsilontonos
\u003ae             ή          etatonos
\u003af             ί          iotatonos
\u003b1             α          alpha
\u003b2             β          beta
\u003b3             γ          gamma
\u003b4             δ          delta
\u003b5             ε          epsilon
\u003b6             ζ          zeta
\u003b7             η          eta
\u003b8             θ          theta
\u003b9             ι          iota
\u003ba             κ          kappa
\u003bb             λ          lambda
\u003bc             μ          uni03BC
\u003bd             ν          nu
\u003be             ξ          xi
\u003bf             ο          omicron
\u003c0             π          pi
\u003c1             ρ          rho
\u003c2             ς          sigma1
\u003c3             σ          sigma
\u003c4             τ          tau
\u003c5             υ          upsilon
\u003c6             φ          phi
\u003c7             χ          chi
\u003c8             ψ          psi
\u003c9             ω          omega
\u003ca             ϊ          iotadieresis
\u003cb             ϋ          upsilondieresis
\u003cc             ό          omicrontonos
\u003cd             ύ          upsilontonos
\u003ce             ώ          omegatonos
\u00400             Ѐ          uni0400
\u00401             Ё          uni0401
\u00405             Ѕ          uni0405
\u00406             І          uni0406
\u00407             Ї          uni0407
\u00408             Ј          uni0408
\u00409             Љ          uni0409
\u00410             А          uni0410
\u00411             Б          uni0411
\u00412             В          uni0412
\u00413             Г          uni0413
\u00414             Д          uni0414
\u00415             Е          uni0415
\u00416             Ж          uni0416
\u00417             З          uni0417
\u00418             И          uni0418
\u00419             Й          uni0419
\u0041a             К          uni041A
\u0041b             Л          uni041B
\u0041c             М          uni041C
\u0041d             Н          uni041D
\u0041e             О          uni041E
\u0041f             П          uni041F
\u00420             Р          uni0420
\u00421             С          uni0421
\u00422             Т          uni0422
\u00423             У          uni0423
\u00424             Ф          uni0424
\u00425             Х          uni0425
\u00426             Ц          uni0426
\u00427             Ч          uni0427
\u00428             Ш          uni0428
\u00429             Щ          uni0429
\u0042a             Ъ          uni042A
\u0042b             Ы          uni042B
\u0042c             Ь          uni042C
\u0042d             Э          uni042D
\u0042e             Ю          uni042E
\u0042f             Я          uni042F
\u00430             а          uni0430
\u00431             б          uni0431
\u00432             в          uni0432
\u00433             г          uni0433
\u00434             д          uni0434
\u00435             е          uni0435
\u00436             ж          uni0436
\u00437             з          uni0437
\u00438             и          uni0438
\u00439             й          uni0439
\u0043a             к          uni043A
\u0043b             л          uni043B
\u0043c             м          uni043C
\u0043d             н          uni043D
\u0043e             о          uni043E
\u0043f             п          uni043F
\u00440             р          uni0440
\u00441             с          uni0441
\u00442             т          uni0442
\u00443             у          uni0443
\u00444             ф          uni0444
\u00445             х          uni0445
\u00446             ц          uni0446
\u00447             ч          uni0447
\u00448             ш          uni0448
\u00449             щ          uni0449
\u0044a             ъ          uni044A
\u0044b             ы          uni044B
\u0044c             ь          uni044C
\u0044d             э          uni044D
\u0044e             ю          uni044E
\u0044f             я          uni044F
\u00450             ѐ          uni0450
\u00451             ё          uni0451
\u00455             ѕ          uni0455
\u00456             і          uni0456
\u00457             ї          uni0457
\u00458             ј          uni0458
\u004d0             Ӑ          uni04D0
\u004d1             ӑ          uni04D1
\u004d2             Ӓ          uni04D2
\u004d3             ӓ          uni04D3
\u004d4             Ӕ          uni04D4
\u004d5             ӕ          uni04D5
\u004d6             Ӗ          uni04D6
\u004d7             ӗ          uni04D7
\u004e6             Ӧ          uni04E6
\u004e7             ӧ          uni04E7
\u004f1             ӱ          uni04F1
\u005d0             א          uni05D0
\u005d1             ב          uni05D1
\u005d2             ג          uni05D2
\u005d3             ד          uni05D3
\u005d4             ה          uni05D4
\u005d5             ו          uni05D5
\u005d6             ז          uni05D6
\u005d7             ח          uni05D7
\u005d8             ט          uni05D8
\u005d9             י          uni05D9
\u005da             ך          uni05DA
\u005db             כ          uni05DB
\u005dc             ל          uni05DC
\u005dd             ם          uni05DD
\u005de             מ          uni05DE
\u005df             ן          uni05DF
\u005e0             נ          uni05E0
\u005e1             ס          uni05E1
\u005e2             ע          uni05E2
\u005e3             ף          uni05E3
\u005e4             פ          uni05E4
\u005e5             ץ          uni05E5
\u005e6             צ          uni05E6
\u005e7             ק          uni05E7
\u005e8             ר          uni05E8
\u005e9             ש          uni05E9
\u005ea             ת          uni05EA
\u00623             أ          uni0623
\u00627             ا          uni0627
\u00628             ب          uni0628
\u00629             ة          uni0629
\u0062a             ت          uni062A
\u0062b             ث          uni062B
\u0062c             ج          uni062C
\u0062d             ح          uni062D
\u0062f             د          uni062F
\u00630             ذ          uni0630
\u00631             ر          uni0631
\u00632             ز          uni0632
\u00633             س          uni0633
\u00634             ش          uni0634
\u00635             ص          uni0635
\u00637             ط          uni0637
\u00638             ظ          uni0638
\u00639             ع          uni0639
\u0063a             غ          uni063A
\u00640             ـ          uni0640
\u00641             ف          uni0641
\u00642             ق          uni0642
\u00643             ك          uni0643
\u00644             ل          uni0644
\u00645             م          uni0645
\u00646             ن          uni0646
\u00647             ه          uni0647
\u00648             و          uni0648
\u00649             ى          uni0649
\u0064a             ي          uni064A
\u00671             ٱ          uni0671
\u00672             ٲ          uni0672
\u00673             ٳ          uni0673
\u001560             ᕠ          uni1560
\u001561             ᕡ          uni1561
\u001562             ᕢ          uni1562
\u001563             ᕣ          uni1563
\u00156a             ᕪ          uni156A
\u00156c             ᕬ          uni156C
\u00156d             ᕭ          uni156D
\u00156e             ᕮ          uni156E
\u00156f             ᕯ          uni156F
\u001570             ᕰ          uni1570
\u001571             ᕱ          uni1571
\u0015ec             ᗬ          uni15EC
\u0015ed             ᗭ          uni15ED
\u0015ef             ᗯ          uni15EF
\u0016a0             ᚠ          uni16A0
\u0016a1             ᚡ          uni16A1
\u0016a2             ᚢ          uni16A2
\u0016a3             ᚣ          uni16A3
\u0016a4             ᚤ          uni16A4
\u0016a5             ᚥ          uni16A5
\u0016a6             ᚦ          uni16A6
\u0016a7             ᚧ          uni16A7
\u0016a8             ᚨ          uni16A8
\u0016a9             ᚩ          uni16A9
\u0016aa             ᚪ          uni16AA
\u0016ab             ᚫ          uni16AB
\u0016b1             ᚱ          uni16B1
\u0016b2             ᚲ          uni16B2
\u0016b3             ᚳ          uni16B3
\u0016b4             ᚴ          uni16B4
\u0016b5             ᚵ          uni16B5
\u0016b6             ᚶ          uni16B6
\u0016b7             ᚷ          uni16B7
\u0016b8             ᚸ          uni16B8
\u0016b9             ᚹ          uni16B9
\u0016ba             ᚺ          uni16BA
\u0016bb             ᚻ          uni16BB
\u0016bc             ᚼ          uni16BC
\u0016bd             ᚽ          uni16BD
\u0016be             ᚾ          uni16BE
\u0016bf             ᚿ          uni16BF
\u0016c0             ᛀ          uni16C0
\u0016c1             ᛁ          uni16C1
\u0016c2             ᛂ          uni16C2
\u0016c3             ᛃ          uni16C3
\u0016c4             ᛄ          uni16C4
\u0016c5             ᛅ          uni16C5
\u0016c6             ᛆ          uni16C6
\u0016c7             ᛇ          uni16C7
\u0016c8             ᛈ          uni16C8
\u0016c9             ᛉ          uni16C9
\u0016ca             ᛊ          uni16CA
\u0016cb             ᛋ          uni16CB
\u0016cc             ᛌ          uni16CC
\u0016cd             ᛍ          uni16CD
\u0016ce             ᛎ          uni16CE
\u0016cf             ᛏ          uni16CF
\u0016d0             ᛐ          uni16D0
\u0016d1             ᛑ          uni16D1
\u0016d2             ᛒ          uni16D2
\u0016d3             ᛓ          uni16D3
\u0016d4             ᛔ          uni16D4
\u0016d5             ᛕ          uni16D5
\u0016d6             ᛖ          uni16D6
\u0016d7             ᛗ          uni16D7
\u0016d8             ᛘ          uni16D8
\u0016d9             ᛙ          uni16D9
\u0016da             ᛚ          uni16DA
\u0016db             ᛛ          uni16DB
\u0016dc             ᛜ          uni16DC
\u0016dd             ᛝ          uni16DD
\u0016de             ᛞ          uni16DE
\u0016df             ᛟ          uni16DF
\u0016e0             ᛠ          uni16E0
\u0016e1             ᛡ          uni16E1
\u0016e2             ᛢ          uni16E2
\u0016e3             ᛣ          uni16E3
\u0016e4             ᛤ          uni16E4
\u0016e5             ᛥ          uni16E5
\u0016e6             ᛦ          uni16E6
\u0016e7             ᛧ          uni16E7
\u0016e8             ᛨ          uni16E8
\u0016e9             ᛩ          uni16E9
\u0016ea             ᛪ          uni16EA
\u0016eb             ᛫          uni16EB
\u0016ec             ᛬          uni16EC
\u0016ed             ᛭          uni16ED
\u0016ee             ᛮ          uni16EE
\u0016ef             ᛯ          uni16EF
\u0016f0             ᛰ          uni16F0
\u0016f1             ᛱ          uni16F1
\u0016f2             ᛲ          uni16F2
\u0016f3             ᛳ          uni16F3
\u0016f4             ᛴ          uni16F4
\u0016f5             ᛵ          uni16F5
\u0016f6             ᛶ          uni16F6
\u0016f7             ᛷ          uni16F7
\u0016f8             ᛸ          uni16F8
\u001e00             Ḁ          uni1E00
\u001e01             ḁ          uni1E01
\u001e02             Ḃ          uni1E02
\u001e04             Ḅ          uni1E04
\u001e05             ḅ          uni1E05
\u001e06             Ḇ          uni1E06
\u001e07             ḇ          uni1E07
\u001e0a             Ḋ          uni1E0A
\u001e0c             Ḍ          uni1E0C
\u001e0d             ḍ          uni1E0D
\u001e0e             Ḏ          uni1E0E
\u001e0f             ḏ          uni1E0F
\u001e41             ṁ          uni1E41
\u001e42             Ṃ          uni1E42
\u001e43             ṃ          uni1E43
\u001e44             Ṅ          uni1E44
\u001e45             ṅ          uni1E45
\u001e46             Ṇ          uni1E46
\u001e47             ṇ          uni1E47
\u001e48             Ṉ          uni1E48
\u001e49             ṉ          uni1E49
\u001e4a             Ṋ          uni1E4A
\u001e4b             ṋ          uni1E4B
\u001e58             Ṙ          uni1E58
\u001e59             ṙ          uni1E59
\u001e5a             Ṛ          uni1E5A
\u001e5b             ṛ          uni1E5B
\u001e5e             Ṟ          uni1E5E
\u001f00             ἀ          uni1F00
\u001f01             ἁ          uni1F01
\u001f02             ἂ          uni1F02
\u001f03             ἃ          uni1F03
\u001f04             ἄ          uni1F04
\u001f05             ἅ          uni1F05
\u001f06             ἆ          uni1F06
\u001f07             ἇ          uni1F07
\u001f08             Ἀ          uni1F08
\u001f09             Ἁ          uni1F09
\u001f0a             Ἂ          uni1F0A
\u001f0b             Ἃ          uni1F0B
\u001f0c             Ἄ          uni1F0C
\u001f0d             Ἅ          uni1F0D
\u001f0e             Ἆ          uni1F0E
\u001f0f             Ἇ          uni1F0F
\u001f10             ἐ          uni1F10
\u001f11             ἑ          uni1F11
\u001f12             ἒ          uni1F12
\u001f13             ἓ          uni1F13
\u001f14             ἔ          uni1F14
\u001f15             ἕ          uni1F15
\u001f16             ἖          uni1F16
\u001f17             ἗          uni1F17
\u001f18             Ἐ          uni1F18
\u001f19             Ἑ          uni1F19
\u001f1a             Ἒ          uni1F1A
\u001f1b             Ἓ          uni1F1B
\u001f1c             Ἔ          uni1F1C
\u001f1d             Ἕ          uni1F1D
\u001f1e             ἞          uni1F1E
\u001f1f             ἟          uni1F1F
\u001f20             ἠ          uni1F20
\u001f21             ἡ          uni1F21
\u001f22             ἢ          uni1F22
\u001f23             ἣ          uni1F23
\u001f24             ἤ          uni1F24
\u001f25             ἥ          uni1F25
\u001f26             ἦ          uni1F26
\u001f27             ἧ          uni1F27
\u001f28             Ἠ          uni1F28
\u001f29             Ἡ          uni1F29
\u001f2a             Ἢ          uni1F2A
\u001f2b             Ἣ          uni1F2B
\u001f2c             Ἤ          uni1F2C
\u001f2d             Ἥ          uni1F2D
\u001f2e             Ἦ          uni1F2E
\u001f2f             Ἧ          uni1F2F
\u001f30             ἰ          uni1F30
\u001f31             ἱ          uni1F31
\u001f32             ἲ          uni1F32
\u001f33             ἳ          uni1F33
\u001f34             ἴ          uni1F34
\u001f35             ἵ          uni1F35
\u001f36             ἶ          uni1F36
\u001f37             ἷ          uni1F37
\u001f38             Ἰ          uni1F38
\u001f39             Ἱ          uni1F39
\u001f3a             Ἲ          uni1F3A
\u001f3b             Ἳ          uni1F3B
\u001f3c             Ἴ          uni1F3C
\u001f3d             Ἵ          uni1F3D
\u001f3e             Ἶ          uni1F3E
\u001f3f             Ἷ          uni1F3F
\u001f40             ὀ          uni1F40
